roi1,roi2,roi3,roi4,roi5,roi6,roi7,roi8,roi9,roi10,roi11,roi12
-0.4508232,-3.687866,-0.4546129,-0.6849121,-0.6847872,-0.6841324,-0.6876173,1.09533,-1.685546,-0.6826389,1.682216,-0.9953365
-1.02394,-3.453678,-0.684375,-0.4539046,-0.4563989,-0.4532052,-1.454494,0.9913844,-1.689094,-0.6893455,3.686684,-1.06275
-1.681284,-2.04235,-0.6861256,-0.0903103,-0.6824662,-0.6843362,-2.451126,0.4535605,-0.840634,-0.6894517,3.06593,-0.6826062
-1.82302,-0.86393,0.033287,0.6865965,-0.453288,-0.0549417,-2.995644,-0.4513473,-0.6814217,-0.6889309,0.68233,-0.6827578
-1.684166,-0.4582884,0.450375,1.453138,-0.4565125,0.6834603,-2.682195,-1.456975,0.681235,-0.688871,-1.680033,-0.6860343
-1.4505,-1.454443,0.6833624,2.0424,-0.4516593,0.6843268,-0.800363,-2.685728,0.4562947,-0.685008,-1.86879,-0.6862326
-1.451535,-2.685834,0.451976,2.457325,-0.6897406,0.835565,1.09806,-2.689461,0.4546582,-0.4518382,-0.844062,-0.6873862
-1.450376,-2.455037,0.4533305,1.82866,-0.6886347,0.6845238,2.45026,-2.684434,0.6893879,-0.6887698,1.688336,-0.68921
-1.680973,0.6832573,0.6840591,1.687617,-0.6806797,0.6867554,2.455479,-1.681827,0.4565676,0.0690342,3.684345,-0.6889429
-1.681151,5.680347,0.6835071,1.07136,-0.6872598,-0.6848756,1.688962,-0.6848342,0.4514364,0.6848095,4.68753,-0.6844592
-0.9953725,10.45691,-0.6835821,1.89258,-0.0731143,-0.4592723,0.9916835,-0.6806552,0.4521727,0.6886103,3.457417,-0.4567037
-0.6860263,13.45952,-0.688039,3.453806,0.6889346,-0.6869138,0.6851349,0.0243622,0.0629735,-0.0725487,0.6851288,-0.6886387
0.851585,12.68985,-0.6810311,4.680919,0.6863413,-0.6810857,1.686203,-0.0311079,-0.6884975,-0.4556619,-2.84253,-0.6836896
1.684683,7.684235,-0.4593683,3.681709,0.4563566,-0.4524632,1.687495,0.0535287,-1.456512,-0.808783,-5.683071,-0.6842686
1.82038,1.45472,-0.6865119,1.81213,0.6847156,-0.6893385,1.991987,0.4538729,-1.68083,-0.9962589,-6.459508,-0.4507156
1.456833,-3.454607,-0.4550724,-0.6830859,0.6847157,-0.4526747,1.993037,0.9987058,-1.02543,-0.9902653,-5.45608,-0.6806565
0.4598985,-5.454586,-0.6884853,-1.99734,0.845034,-0.4567547,2.686826,1.686214,0.0792915,-0.6897511,-3.451923,-0.6892871
-0.6815364,-4.689837,-0.6862123,-1.687346,0.883902,-0.4540404,3.680297,1.457876,1.681859,-0.6861606,-1.689335,-0.68102
-0.686594,-2.68752,-0.6865454,0.9911093,0.81558,-0.6803873,4.689376,0.818042,2.09116,0.4589787,0.4562594,-0.6823026
-0.030331,-0.6890308,-0.6803984,3.680376,0.6840376,-0.0721437,6.451367,-0.045919,2.04084,0.686763,0.6803592,-0.6841605
1.684953,-0.6812329,0.0521038,4.86838,0.6808372,0.4500564,6.681652,-0.6817673,1.456733,0.9927262,0.0496225,-0.6826421
2.456792,-1.454153,0.6845903,3.86531,0.0843006,0.4553002,5.453248,-0.820526,0.4545412,1.06048,-0.6842658,0.0397042
2.990366,-3.0664,0.6818323,1.453256,-0.0934739,0.6841088,2.680492,-0.684213,-0.4588465,1.06525,-0.831549,0.6803485
2.996555,-4.684278,0.4574187,-1.453137,-0.4517961,0.841335,-1.04351,0.4593391,-0.6866208,0.6823916,0.6804786,0.0733233
2.86795,-4.456183,0.6834655,-2.85614,-0.6802183,0.842153,-3.453655,0.878065,-0.4513432,0.834856,1.681072,0.0432912
2.685532,-3.992151,0.0387268,-2.682197,-0.6836546,0.6839861,-4.07034,1.68787,-0.6803414,0.6840319,3.684334,0.6828838
2.80697,-2.68296,0.0385919,-1.457915,-0.4591586,0.4547005,-3.686745,1.681116,-0.057265,0.4565458,4.0707,0.4506037
3.03962,-1.998006,0.4510394,-0.686036,-0.6850734,0.4503728,-1.89045,0.824955,-0.6835795,0.6864965,4.682145,0.854441
2.85356,-0.9906032,0.4524554,-1.685444,0.047028,-0.0246803,-1.681204,0.6856069,-0.829743,0.6861233,3.457259,1.685291
1.99491,0.4584104,0.6810976,-4.456838,0.4500729,-0.68714,-1.686208,-0.4504582,-0.996296,0.4520807,2.685644,1.83076
0.6817537,1.686004,0.6854535,-7.683344,0.6898573,-0.4503665,-3.03603,-0.83526,-0.9911032,0.4556562,1.84328,1.84464
-1.689867,2.851,-0.0325663,-8.685629,-6.85433e-05,-0.683303,-4.453055,-0.6843666,-0.6869194,0.6875056,1.687634,1.683734
-3.683838,3.687569,-0.4513415,-7.09803,-0.6813826,-0.0251198,-4.684309,-0.0743931,-0.4527311,0.6829342,0.841234,1.684972
-3.86898,4.680334,-0.6826218,-3.686659,-0.6869821,0.056054,-3.685183,0.895238,-0.4571823,-0.4517513,0.6836553,0.4592487
-3.685052,4.86929,-0.6831803,0.9958042,-0.6809485,0.0764831,-1.450872,1.687004,-0.0940961,-0.6803879,0.0365893,-0.6898792
-2.687063,5.456238,-0.6865236,3.992896,-0.4502162,0.0479189,0.6865485,1.80923,0.6807029,-0.6832038,-0.00444206,-0.893736
-0.860092,5.83938,0.4534172,4.455621,-0.0626324,0.00907096,1.457021,1.458482,1.0066,-0.4503965,0.4542968,-1.687955
0.6870882,6.688338,0.4575316,2.99032,0.6833112,-0.0308259,1.450045,0.685322,1.80565,0.4506332,1.458416,-1.457136
0.9918685,6.689045,0.4530865,0.880968,0.0889329,-0.0373461,0.832554,-1.05732,2.459826,1.0428,2.685962,-1.03703
0.824967,6.68868,0.6860674,-0.4531314,-0.6862486,-0.0461194,0.4583431,-1.89343,2.683051,1.686203,2.682832,-0.6831003
0.4509465,5.995062,-0.6848283,0.6879009,-0.4562586,-0.6831434,0.6846558,-1.8445,1.457375,1.450512,2.457372,0.0917039
-0.812719,4.684186,-0.6806035,2.682687,-0.4592457,-0.4573448,0.6882311,-1.06058,0.0965644,0.6845361,1.86949,0.6812544
-1.687846,2.457334,-0.4536635,5.454139,-0.6847693,-0.4521103,0.9987346,-0.6846553,-0.830034,-0.6816255,1.45704,0.838264
